Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,Class
ADT1_YEAST,0.58,0.61,0.47,0.13,0.5,0,0.48,0.22,MIT
ADT2_YEAST,0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,MIT
ADT3_YEAST,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,MIT
AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,NUC
AATM_YEAST,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,MIT
AATC_YEAST,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,CYT
ABC1_YEAST,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,MIT
BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0,0.58,0.34,NUC
ABF2_YEAST,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,MIT
ABP1_YEAST,0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,CYT
ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,NUC
ACE2_YEAST,0.42,0.37,0.59,0.2,0.5,0,0.52,0.29,NUC
ACH1_YEAST,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,CYT
ACON_YEAST,0.6,0.4,0.52,0.46,0.5,0,0.53,0.22,MIT
ACR1_YEAST,0.66,0.55,0.45,0.19,0.5,0,0.46,0.22,MIT
ACT_YEAST,0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,CYT
ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,CYT
ACT3_YEAST,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,NUC
ACT5_YEAST,0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,NUC
ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0,0.5,0.25,NUC
C1TC_YEAST,0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,CYT
PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0,0.51,0.22,CYT
PUR3_YEAST,0.73,0.63,0.42,0.3,0.5,0,0.49,0.22,CYT
ADH1_YEAST,0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,CYT
ADH2_YEAST,0.46,0.53,0.52,0.15,0.5,0,0.58,0.22,CYT
ADH3_YEAST,0.51,0.51,0.52,0.51,0.5,0,0.54,0.22,MIT
ADH4_YEAST,0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,CYT
KAD1_YEAST,0.57,0.47,0.6,0.18,0.5,0,0.51,0.22,CYT
KAD2_YEAST,0.63,0.67,0.57,0.24,0.5,0,0.49,0.22,MIT
ADR1_YEAST,0.53,0.54,0.43,0.1,0.5,0,0.57,0.32,NUC
AFG3_YEAST,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,MIT
AFR1_YEAST,0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,CYT
RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0,0.51,0.22,NUC
YMX1_YEAST,0.72,0.61,0.45,0.3,0.5,0,0.54,0.25,MIT
SYAC_YEAST,0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,CYT
DHA1_YEAST,0.59,0.53,0.43,0.44,0.5,0,0.5,0.22,MIT
DHA2_YEAST,0.57,0.53,0.53,0.34,0.5,0,0.53,0.22,MIT
ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0,0.47,0.37,NUC
ADB2_YEAST,0.48,0.39,0.51,0.21,0.5,0,0.52,0.28,CYT
APN1_YEAST,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,NUC
ARD1_YEAST,0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,CYT
ARF1_YEAST,0.64,0.59,0.56,0.23,0.5,0,0.46,0.22,CYT
ARF2_YEAST,0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,CYT
ASSY_YEAST,0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,CYT
OTC_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,CYT
ARLY_YEAST,0.38,0.49,0.53,0.19,0.5,0,0.5,0.22,CYT
AR56_YEAST,0.45,0.58,0.48,0.67,0.5,0,0.52,0.22,MIT
ARGD_YEAST,0.43,0.35,0.52,0.52,0.5,0,0.54,0.22,MIT
ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0,0.45,0.25,NUC
ARG2_YEAST,0.48,0.43,0.51,0.32,0.5,0,0.52,0.43,NUC
ARG3_YEAST,0.41,0.46,0.59,0.19,0.5,0,0.58,0.27,NUC
ARO1_YEAST,0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,CYT
AROC_YEAST,0.6,0.47,0.45,0.22,0.5,0,0.51,0.29,CYT
AROF_YEAST,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,CYT
AROG_YEAST,0.48,0.54,0.55,0.12,0.5,0,0.51,0.22,CYT
CHMU_YEAST,0.47,0.39,0.59,0.15,0.5,0,0.57,0.22,CYT
AST1_YEAST,0.48,0.42,0.52,0.24,0.5,0,0.56,0.22,CYT
ATE1_YEAST,0.58,0.51,0.49,0.27,0.5,0,0.57,0.29,CYT
ATM1_YEAST,0.6,0.5,0.44,0.61,0.5,0,0.47,0.22,MIT
ATPA_YEAST,0.45,0.55,0.54,0.66,0.5,0,0.47,0.22,MIT
ATPY_YEAST,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22,MIT
ATPS_YEAST,0.49,0.42,0.56,0.55,0.5,0,0.42,0.25,MIT
ATPT_YEAST,0.63,0.53,0.54,0.4,0.5,0,0.5,0.22,MIT
ATPU_YEAST,0.5,0.54,0.53,0.54,0.5,0,0.51,0.27,MIT
ATPE_YEAST,0.63,0.57,0.59,0.4,0.5,0,0.38,0.22,MIT
ATPB_YEAST,0.43,0.57,0.51,0.49,0.5,0,0.48,0.22,MIT
ATPG_YEAST,0.48,0.45,0.55,0.5,0.5,0,0.53,0.22,MIT
ATPD_YEAST,0.5,0.58,0.46,0.46,0.5,0,0.46,0.22,MIT
ATPO_YEAST,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22,MIT
ATP7_YEAST,0.54,0.52,0.63,0.37,0.5,0,0.46,0.22,MIT
ATP8_YEAST,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,MIT
BAS1_YEAST,0.5,0.52,0.59,0.3,0.5,0,0.51,0.35,NUC
BCK1_YEAST,0.42,0.47,0.52,0.41,0.5,0,0.53,0.32,CYT
BCK2_YEAST,0.36,0.46,0.62,0.46,0.5,0,0.51,0.33,CYT
BCS1_YEAST,0.46,0.38,0.47,0.22,0.5,0,0.52,0.27,MIT
KAPR_YEAST,0.4,0.45,0.56,0.2,0.5,0,0.45,0.22,CYT
BDF1_YEAST,0.33,0.43,0.64,0.16,0.5,0,0.52,0.52,NUC
BEM1_YEAST,0.49,0.61,0.49,0.25,0.5,0,0.5,0.28,CYT
CYBM_YEAST,0.61,0.72,0.39,0.33,0.5,0,0.58,0.22,MIT
YMC4_YEAST,0.78,0.75,0.4,0.28,0.5,0,0.53,0.22,MIT
BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,CYT
BUD5_YEAST,0.47,0.52,0.5,0.4,0.5,0,0.41,0.22,CYT
CAD1_YEAST,0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,NUC
CAP2_YEAST,0.47,0.39,0.55,0.24,0.5,0,0.47,0.22,CYT
CAPA_YEAST,0.42,0.35,0.54,0.18,0.5,0,0.56,0.22,CYT
CAPB_YEAST,0.3,0.56,0.55,0.18,0.5,0,0.5,0.22,CYT
ARGI_YEAST,0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,CYT
OAT_YEAST,0.27,0.6,0.48,0.23,0.5,0,0.55,0.22,CYT
CAT8_YEAST,0.44,0.52,0.41,0.23,0.5,0,0.51,0.22,NUC
CBF1_YEAST,0.3,0.32,0.57,0.19,0.5,0,0.48,0.55,NUC
CB32_YEAST,0.4,0.44,0.49,0.47,0.5,0,0.49,0.27,NUC
CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0,0.52,1,NUC
CBP1_YEAST,0.45,0.45,0.5,0.6,0.5,0,0.49,0.22,MIT
CBP2_YEAST,0.59,0.67,0.56,0.41,0.5,0,0.47,0.22,MIT
CBP3_YEAST,0.47,0.47,0.57,0.48,0.5,0,0.48,0.22,MIT
CBP4_YEAST,0.35,0.52,0.48,0.22,0.5,0,0.26,0.22,MIT
CBP6_YEAST,0.47,0.41,0.66,0.26,0.5,0,0.53,0.22,MIT
NC5R_YEAST,0.64,0.62,0.29,0.28,0.5,0,0.51,0.22,MIT
CBS1_YEAST,0.55,0.53,0.55,0.46,0.5,0,0.52,0.22,MIT
CBS2_YEAST,0.67,0.62,0.54,0.43,0.5,0,0.53,0.22,MIT
TNT_YEAST,0.59,0.6,0.49,0.43,0.5,0,0.53,0.31,MIT
CCE1_YEAST,0.58,0.62,0.54,0.17,0.5,0,0.48,0.22,MIT
CCL1_YEAST,0.4,0.38,0.53,0.16,0.5,0,0.52,0.27,NUC
CCPR_YEAST,0.46,0.71,0.48,0.53,0.5,0,0.53,0.22,MIT
CCR4_YEAST,0.53,0.51,0.55,0.05,0.5,0,0.45,0.25,NUC
CTPT_YEAST,0.41,0.4,0.59,0.47,0.5,0,0.48,0.43,CYT
CC10_YEAST,0.5,0.64,0.57,0.15,0.5,0,0.47,0.22,CYT
CC11_YEAST,0.4,0.62,0.52,0.31,0.5,0,0.49,0.31,CYT
CC12_YEAST,0.6,0.5,0.57,0.25,0.5,0,0.41,0.26,CYT
CC16_YEAST,0.62,0.51,0.52,0.42,0.5,0,0.54,0.27,NUC
CC23_YEAST,0.35,0.58,0.54,0.16,0.5,0,0.51,0.22,NUC
CC24_YEAST,0.34,0.54,0.5,0.21,0.5,0,0.54,0.31,CYT
CC27_YEAST,0.48,0.54,0.5,0.17,0.5,0,0.53,0.22,NUC
CDC3_YEAST,0.29,0.32,0.58,0.15,0.5,0,0.5,0.3,CYT
CC31_YEAST,0.47,0.32,0.64,0.3,0.5,0,0.63,0.22,NUC
IF4E_YEAST,0.39,0.47,0.56,0.16,0.5,0,0.47,0.22,CYT
UBC3_YEAST,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,NUC
NOT2_YEAST,0.64,0.6,0.57,0.19,0.5,0,0.43,0.22,NUC
NOT1_YEAST,0.37,0.46,0.4,0.27,0.5,0,0.45,0.22,NUC
CC4_YEAST,0.43,0.57,0.53,0.16,0.5,0,0.54,0.22,CYT
CC40_YEAST,0.28,0.37,0.61,0.09,0.5,0,0.52,0.55,NUC
CC42_YEAST,0.59,0.48,0.5,0.14,0.5,0,0.45,0.25,CYT
CAL1_YEAST,0.39,0.55,0.48,0.31,0.5,0,0.54,0.29,CYT
RFC1_YEAST,0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,NUC
CC46_YEAST,0.51,0.34,0.5,0.19,0.5,0,0.5,0.22,NUC
YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0,0.48,0.25,NUC
CC48_YEAST,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,CYT
CC6_YEAST,0.41,0.39,0.44,0.34,0.5,0,0.48,0.4,NUC
SYLC_YEAST,0.45,0.43,0.51,0.24,0.5,0,0.54,0.33,CYT
CC68_YEAST,0.36,0.68,0.46,0.16,0.5,0,0.53,0.28,NUC
CC7_YEAST,0.42,0.31,0.5,0.15,0.5,0,0.53,0.22,NUC
KTHY_YEAST,0.42,0.43,0.56,0.1,0.5,0,0.49,0.22,CYT
DNLI_YEAST,0.67,0.71,0.52,0.65,0.5,0,0.53,0.36,NUC
MCE1_YEAST,0.49,0.47,0.53,0.16,0.5,0,0.48,0.27,NUC
CEM1_YEAST,0.71,0.59,0.48,0.43,0.5,0,0.59,0.22,MIT
RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,CYT
RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,CYT
CLH_YEAST,0.54,0.49,0.49,0.2,0.5,0,0.52,0.22,CYT
CHL1_YEAST,0.42,0.51,0.5,0.12,0.5,0,0.52,0.46,NUC
CHL4_YEAST,0.57,0.51,0.53,0.18,0.5,0,0.56,0.25,NUC
CIK1_YEAST,0.31,0.44,0.53,0.23,0.5,0,0.51,0.32,NUC
CIN1_YEAST,0.48,0.61,0.44,0.2,0.5,0,0.47,0.22,CYT
CIN4_YEAST,0.66,0.45,0.5,0.23,0.5,0,0.49,0.22,CYT
CIN8_YEAST,0.21,0.41,0.55,0.11,0.5,0,0.5,0.27,CYT
CISY_YEAST,0.38,0.68,0.44,0.45,0.5,0,0.53,0.22,MIT
KC21_YEAST,0.31,0.31,0.56,0.33,0.5,0,0.52,0.33,NUC
KC22_YEAST,0.49,0.31,0.49,0.35,0.5,0,0.51,0.29,NUC
KC2C_YEAST,0.38,0.37,0.56,0.21,0.5,0,0.49,0.22,NUC
KICH_YEAST,0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,CYT
CLC1_YEAST,0.24,0.34,0.69,0.18,0.5,0,0.52,0.22,CYT
CG11_YEAST,0.49,0.43,0.51,0.13,0.5,0,0.47,0.22,CYT
CG12_YEAST,0.54,0.38,0.52,0.18,0.5,0,0.48,0.22,CYT
CG13_YEAST,0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,CYT
CALM_YEAST,0.48,0.64,0.61,0.23,0.5,0,0.6,0.22,CYT
KCC1_YEAST,0.31,0.55,0.52,0.17,0.5,0,0.52,0.22,CYT
KCC2_YEAST,0.32,0.57,0.5,0.15,0.5,0,0.53,0.22,CYT
P2B1_YEAST,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,CYT
P2B2_YEAST,0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,CYT
CALB_YEAST,0.37,0.42,0.51,0.11,0.5,0,0.57,0.22,CYT
CYB_YEAST,0.61,0.72,0.31,0.33,0.5,0,0.56,0.22,MIT
COFI_YEAST,0.44,0.42,0.6,0.21,0.5,0,0.57,0.22,CYT
COQ1_YEAST,0.52,0.51,0.51,0.54,0.5,0,0.55,0.27,MIT
COQ2_YEAST,0.63,0.56,0.45,0.58,0.5,0,0.51,0.22,MIT
COQ3_YEAST,0.52,0.56,0.54,0.53,0.5,0,0.45,0.22,MIT
UCR1_YEAST,0.58,0.58,0.58,0.49,0.5,0,0.49,0.26,MIT
COT1_YEAST,0.72,0.62,0.34,0.29,0.5,0,0.56,0.28,MIT
COX1_YEAST,0.72,0.61,0.37,0.3,0.5,0,0.57,0.22,MIT
COXX_YEAST,0.46,0.43,0.38,0.33,0.5,0,0.48,0.28,MIT
COXZ_YEAST,0.57,0.57,0.44,0.37,0.5,0,0.52,0.25,MIT
COXG_YEAST,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22,MIT
COXE_YEAST,0.49,0.46,0.45,0.45,0.5,0,0.52,0.22,MIT
YEX1_YEAST,0.42,0.58,0.41,0.65,0.5,0,0.46,0.26,MIT
COX2_YEAST,0.59,0.61,0.34,0.22,0.5,0,0.51,0.22,MIT
COX3_YEAST,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22,MIT
COX4_YEAST,0.5,0.52,0.6,0.51,0.5,0,0.48,0.22,MIT
COXA_YEAST,0.49,0.6,0.43,0.56,0.5,0,0.36,0.22,MIT
COXB_YEAST,0.5,0.41,0.44,0.5,0.5,0,0.42,0.22,MIT
COX6_YEAST,0.5,0.4,0.56,0.7,0.5,0,0.5,0.22,MIT
COX7_YEAST,0.37,0.58,0.44,0.51,0.5,0,0.44,0.22,MIT
COX8_YEAST,0.55,0.45,0.45,0.54,0.5,0,0.5,0.22,MIT
COX9_YEAST,0.67,0.68,0.46,0.29,0.5,0,0.46,0.22,MIT
CARA_YEAST,0.53,0.51,0.46,0.28,0.5,0,0.48,0.22,CYT
CARB_YEAST,0.35,0.66,0.49,0.21,0.5,0,0.54,0.25,CYT
CYPH_YEAST,0.52,0.4,0.6,0.12,0.5,0,0.55,0.22,CYT
CYPC_YEAST,0.47,0.46,0.59,0.49,0.5,0,0.56,0.22,MIT
CYPD_YEAST,0.78,0.74,0.58,0.25,1,0,0.53,0.22,ERL
CRM1_YEAST,0.56,0.52,0.48,0.17,0.5,0,0.46,0.22,NUC
R141_YEAST,0.57,0.41,0.59,0.24,0.5,0,0.4,0.22,CYT
R142_YEAST,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,CYT
CSE1_YEAST,0.58,0.56,0.45,0.12,0.5,0,0.51,0.22,NUC
CSE2_YEAST,0.53,0.38,0.66,0.25,0.5,0,0.43,0.22,NUC
YKE9_YEAST,0.34,0.36,0.54,0.11,0.5,0,0.36,0.21,NUC
CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0,0.51,0.25,NUC
CTK1_YEAST,0.31,0.46,0.54,0.52,0.5,0,0.5,0.34,NUC
CATT_YEAST,0.41,0.51,0.58,0.15,0.5,0,0.45,0.27,CYT
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,CYT
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,CYT
CYB2_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22,MIT
CYC1_YEAST,0.46,0.54,0.71,0.15,0.5,0,0.59,0.22,MIT
CYC2_YEAST,0.4,0.56,0.48,0.14,0.5,0,0.47,0.22,MIT
CCHL_YEAST,0.53,0.53,0.6,0.13,0.5,0,0.49,0.22,MIT
CYC7_YEAST,0.42,0.57,0.72,0.22,0.5,0,0.57,0.22,MIT
RL2A_YEAST,0.45,0.27,0.57,0.36,0.5,0,0.52,0.18,CYT
CYAA_YEAST,0.2,0.26,0.52,0.14,0.5,0,0.53,0.44,CYT
CYS3_YEAST,0.51,0.53,0.55,0.14,0.5,0,0.51,0.22,CYT
CY1_YEAST,0.44,0.68,0.45,0.51,0.5,0,0.52,0.41,MIT
CYT2_YEAST,0.27,0.39,0.66,0.11,0.5,0,0.44,0.22,MIT
DA80_YEAST,0.59,0.58,0.56,0.21,0.5,0,0.54,0.33,NUC
DA81_YEAST,0.39,0.28,0.46,0.12,0.5,0,0.41,0.22,NUC
DA82_YEAST,0.56,0.43,0.54,0.16,0.5,0,0.5,0.22,NUC
DATI_YEAST,0.27,0.36,0.6,0.33,0.5,0,0.37,0.31,NUC
DBF4_YEAST,0.35,0.4,0.59,0.22,0.5,0,0.47,0.37,NUC
DBP1_YEAST,0.42,0.32,0.5,0.21,0.5,0,0.51,0.22,NUC
DBP2_YEAST,0.23,0.2,0.53,0.2,0.5,0,0.44,0.22,NUC
DBR1_YEAST,0.55,0.54,0.56,0.22,0.5,0,0.5,0.37,NUC
DED1_YEAST,0.36,0.24,0.49,0.16,0.5,0,0.51,0.22,NUC
DEP1_YEAST,0.38,0.48,0.59,0.22,0.5,0,0.46,0.22,CYT
DYR_YEAST,0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,CYT
DYHC_YEAST,0.6,0.56,0.47,0.2,0.5,0,0.5,0.38,NUC
DHH1_YEAST,0.41,0.24,0.54,0.26,0.5,0,0.41,0.22,NUC
DLD1_YEAST,0.47,0.65,0.54,0.62,0.5,0,0.53,0.36,MIT
DMC1_YEAST,0.43,0.39,0.54,0.14,0.5,0,0.47,0.22,NUC
DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0,0.48,0.25,NUC
DPB3_YEAST,0.53,0.61,0.52,0.21,0.5,0,0.55,0.3,NUC
SYDC_YEAST,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,CYT
DRS1_YEAST,0.46,0.43,0.49,0.79,0.5,0,0.49,0.63,NUC
DSS4_YEAST,0.56,0.52,0.55,0.19,0.5,0,0.54,0.22,CYT
TFS2_YEAST,0.61,0.3,0.59,0.12,0.5,0,0.49,0.27,NUC
DUN1_YEAST,0.37,0.53,0.46,0.23,0.5,0,0.47,0.22,NUC
EF1B_YEAST,0.39,0.45,0.53,0.18,0.5,0,0.54,0.22,CYT
EF2_YEAST,0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,CYT
EGD1_YEAST,0.35,0.39,0.57,0.11,0.5,0,0.48,0.22,NUC
END3_YEAST,0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,CYT
ENO1_YEAST,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,CYT
ENO2_YEAST,0.45,0.56,0.53,0.32,0.5,0,0.57,0.22,CYT
THIL_YEAST,0.54,0.65,0.49,0.34,0.5,0,0.52,0.22,CYT
KIME_YEAST,0.59,0.58,0.46,0.19,0.5,0,0.56,0.27,CYT
FPPS_YEAST,0.55,0.56,0.45,0.14,0.5,0,0.54,0.22,CYT
ERG6_YEAST,0.32,0.47,0.55,0.12,0.5,0,0.52,0.22,CYT
ERG8_YEAST,0.62,0.58,0.46,0.13,0.5,0,0.53,0.22,CYT
ESP1_YEAST,0.55,0.46,0.46,0.31,0.5,0,0.58,0.48,NUC
EST1_YEAST,0.35,0.6,0.47,0.13,0.5,0,0.52,0.43,NUC
EUG1_YEAST,0.77,0.8,0.51,0.4,1,0,0.54,0.22,ERL
LCF2_YEAST,0.35,0.46,0.49,0.15,1,0,0.55,0.35,CYT
FAD1_YEAST,0.43,0.51,0.48,0.14,0.5,0,0.5,0.22,CYT
FAS1_YEAST,0.57,0.61,0.45,0.26,0.5,0,0.5,0.22,CYT
FAS2_YEAST,0.63,0.62,0.42,0.12,0.5,0,0.52,0.25,CYT
COAC_YEAST,0.25,0.4,0.51,0.18,0.5,0,0.5,0.27,CYT
ALF_YEAST,0.56,0.62,0.53,0.24,0.5,0,0.57,0.22,CYT
F16P_YEAST,0.58,0.6,0.51,0.24,0.5,0,0.53,0.22,CYT
F26_YEAST,0.71,0.59,0.53,0.15,0.5,0,0.49,0.33,CYT
FHL1_YEAST,0.33,0.44,0.49,0.08,0.5,0,0.48,0.49,NUC
FKBP_YEAST,0.35,0.36,0.57,0.17,0.5,0,0.52,0.22,CYT
FKB3_YEAST,0.54,0.57,0.52,0.19,0.5,0,0.59,0.67,NUC
SYFA_YEAST,0.45,0.4,0.56,0.14,0.5,0,0.54,0.22,CYT
SYFB_YEAST,0.47,0.47,0.58,0.16,0.5,0,0.49,0.28,CYT
FUMH_YEAST,0.41,0.39,0.51,0.52,0.5,0,0.49,0.22,CYT
FUR1_YEAST,0.69,0.6,0.5,0.31,0.5,0,0.55,0.22,CYT
FUS3_YEAST,0.51,0.58,0.54,0.29,0.5,0,0.53,0.22,CYT
FZF1_YEAST,0.37,0.43,0.62,0.27,0.5,0,0.48,0.22,NUC
GAC1_YEAST,0.55,0.66,0.57,0.32,0.5,0,0.57,0.34,CYT
GAL1_YEAST,0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,CYT
GALX_YEAST,0.62,0.58,0.52,0.15,0.5,0,0.52,0.29,CYT
GALY_YEAST,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42,NUC
GAL4_YEAST,0.44,0.44,0.49,0.15,0.5,0,0.46,0.27,NUC
GAL7_YEAST,0.5,0.5,0.48,0.17,0.5,0,0.47,0.26,CYT
GAL8_YEAST,0.6,0.6,0.49,0.3,0.5,0,0.53,0.22,NUC
GAR1_YEAST,0.35,0.68,0.57,0.4,0.5,0,0.53,0.36,NUC
GBP2_YEAST,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27,NUC
E2BG_YEAST,0.45,0.42,0.52,0.2,0.5,0,0.5,0.25,CYT
IF2G_YEAST,0.51,0.35,0.46,0.15,0.5,0,0.51,0.42,CYT
E2BD_YEAST,0.42,0.39,0.47,0.13,0.5,0,0.5,0.27,CYT
E2BE_YEAST,0.32,0.38,0.52,0.2,0.5,0,0.52,0.28,CYT
E2BB_YEAST,0.59,0.65,0.52,0.3,0.5,0,0.46,0.31,CYT
GCN1_YEAST,0.41,0.52,0.41,0.11,0.5,0,0.54,0.35,CYT
GCN2_YEAST,0.37,0.33,0.5,0.12,0.5,0,0.51,0.54,CYT
E2BA_YEAST,0.45,0.56,0.49,0.17,0.5,0,0.52,0.22,CYT
GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0,0.52,0.27,NUC
GCN5_YEAST,0.31,0.31,0.54,0.18,0.5,0,0.52,0.29,NUC
GCR1_YEAST,0.27,0.51,0.47,0.35,0.5,0,0.49,0.28,NUC
GCR2_YEAST,0.54,0.56,0.57,0.18,0.5,0,0.45,0.25,NUC
GCR3_YEAST,0.17,0.38,0.45,0.09,0.5,0,0.54,0.27,NUC
GCS1_YEAST,0.43,0.51,0.54,0.15,0.5,0,0.45,0.26,NUC
GCY_YEAST,0.6,0.4,0.59,0.18,0.5,0,0.48,0.22,CYT
